particle,repetition,dist_mm,dist_perc,C0,rpm,time,trans
NC7000,1,117.4781,50,6,800,370.09,88.62917
NC7000,1,117.4781,50,6,800,374.96,88.50578
NC7000,1,117.4781,50,6,800,380.11,88.8015
NC7000,1,117.4781,50,6,800,385.09,88.56119
NC7000,1,117.4781,50,6,800,390.04,88.77956
NC7000,1,117.4781,50,6,800,394.99,89.30259
NC7000,1,117.4781,50,6,800,400.01,89.55196
NC7000,1,117.4781,50,6,800,404.95,88.80183
NC7000,1,117.4781,50,6,800,410.12,89.02573
NC7000,1,117.4781,50,6,800,415,89.07606
NC7000,1,117.4781,50,6,800,419.94,88.81152
NC7000,1,117.4781,50,6,800,424.97,88.98664
NC7000,1,117.4781,50,6,800,429.99,88.97027
NC7000,1,117.4781,50,6,800,435.02,89.24688
NC7000,1,117.4781,50,6,800,440.11,89.18966
NC7000,1,117.4781,50,6,800,445.12,89.04485
NC7000,1,117.4781,50,6,800,450.01,89.53133
NC7000,1,117.4781,50,6,800,455.08,89.00808
NC7000,1,117.4781,50,6,800,460.06,88.89784
NC7000,1,117.4781,50,6,800,464.92,88.74652
NC7000,1,117.4781,50,6,800,470.03,89.09702
NC7000,1,117.4781,50,6,800,475.08,89.01069
NC7000,1,117.4781,50,6,800,479.99,89.0719
NC7000,1,117.4781,50,6,800,485.02,89.17786
NC7000,1,117.4781,50,6,800,490.1,88.76871
NC7000,1,117.4781,50,6,800,495.07,89.55123
NC7000,1,117.4781,50,6,800,500.06,88.89954
NC7000,1,117.4781,50,6,800,505.09,89.1123
