particle,repetition,dist_mm,dist_perc,C0,time,rpm,trans
NC7000,3,117.4781,50,14,1101.04,300,43.45833
NC7000,3,117.4781,50,14,1106.1,300,39.86668
NC7000,3,117.4781,50,14,1111.04,300,38.54416
NC7000,3,117.4781,50,14,1116.09,300,39.16722
NC7000,3,117.4781,50,14,1121.03,300,44.3312
NC7000,3,117.4781,50,14,1126.02,300,44.6302
NC7000,3,117.4781,50,14,1131.21,300,44.47519
NC7000,3,117.4781,50,14,1136.06,300,45.14031
NC7000,3,117.4781,50,14,1141.05,300,47.72987
NC7000,3,117.4781,50,14,1146.01,300,47.18242
NC7000,3,117.4781,50,14,1151.03,300,46.47425
NC7000,3,117.4781,50,14,1156.4,300,48.22073
NC7000,3,117.4781,50,14,1161.04,300,47.71822
NC7000,3,117.4781,50,14,1166,300,46.7414
NC7000,3,117.4781,50,14,1171.36,300,46.75227
NC7000,3,117.4781,50,14,1176.02,300,47.99327
NC7000,3,117.4781,50,14,1180.95,300,48.31919
NC7000,3,117.4781,50,14,1186,300,46.50421
NC7000,3,117.4781,50,14,1190.93,300,48.32909
NC7000,3,117.4781,50,14,1195.93,300,47.674
NC7000,3,117.4781,50,14,1200.95,300,47.72121
NC7000,3,117.4781,50,14,1205.92,300,47.24339
NC7000,3,117.4781,50,14,1210.91,300,42.85527
NC7000,3,117.4781,50,14,1215.97,300,44.85753
NC7000,3,117.4781,50,14,1221.09,300,42.72616
NC7000,3,117.4781,50,14,1226.12,300,42.81039
NC7000,3,117.4781,50,14,1231.14,300,45.07976
NC7000,3,117.4781,50,14,1236.13,300,46.14003
NC7000,3,117.4781,50,14,1241.12,300,48.30405
NC7000,3,117.4781,50,14,1246.07,300,46.42675
NC7000,3,117.4781,50,14,1251.06,300,42.99273
NC7000,3,117.4781,50,14,1256.1,300,41.45203
NC7000,3,117.4781,50,14,1261.1,300,42.7467
NC7000,3,117.4781,50,14,1266.1,300,47.85376
NC7000,3,117.4781,50,14,1271.11,300,47.97298
NC7000,3,117.4781,50,14,1276.03,300,49.26247
NC7000,3,117.4781,50,14,1281.03,300,51.1221
NC7000,3,117.4781,50,14,1286.04,300,50.54845
NC7000,3,117.4781,50,14,1291.07,300,50.17189
NC7000,3,117.4781,50,14,1296.08,300,45.0526
NC7000,3,117.4781,50,14,1301.08,300,45.11279
NC7000,3,117.4781,50,14,1306.06,300,47.53893
NC7000,3,117.4781,50,14,1311.01,300,49.95665
NC7000,3,117.4781,50,14,1316.08,300,48.73921
NC7000,3,117.4781,50,14,1321.02,300,48.37956
NC7000,3,117.4781,50,14,1325.98,300,50.53077
NC7000,3,117.4781,50,14,1331.02,300,50.01957
NC7000,3,117.4781,50,14,1336.04,300,50.68708
NC7000,3,117.4781,50,14,1340.97,300,54.12603
NC7000,3,117.4781,50,14,1346.03,300,53.13032
NC7000,3,117.4781,50,14,1351.05,300,53.77869
NC7000,3,117.4781,50,14,1355.97,300,53.16407
NC7000,3,117.4781,50,14,1361,300,51.36537
NC7000,3,117.4781,50,14,1365.96,300,50.84649
NC7000,3,117.4781,50,14,1370.96,300,51.90857
NC7000,3,117.4781,50,14,1376,300,51.78175
NC7000,3,117.4781,50,14,1380.96,300,51.3827
NC7000,3,117.4781,50,14,1385.95,300,49.57943
NC7000,3,117.4781,50,14,1390.94,300,47.75744
NC7000,3,117.4781,50,14,1395.99,300,49.2282
NC7000,3,117.4781,50,14,1401.22,300,53.23307
NC7000,3,117.4781,50,14,1406,300,55.14058
NC7000,3,117.4781,50,14,1411.18,300,55.00193
NC7000,3,117.4781,50,14,1416.18,300,52.53706
NC7000,3,117.4781,50,14,1421.16,300,51.7492
NC7000,3,117.4781,50,14,1426.13,300,51.28273
NC7000,3,117.4781,50,14,1431.1,300,51.15665
NC7000,3,117.4781,50,14,1436.1,300,49.68909
NC7000,3,117.4781,50,14,1441.13,300,53.4538
NC7000,3,117.4781,50,14,1446.08,300,54.95013
NC7000,3,117.4781,50,14,1451.1,300,54.95789
NC7000,3,117.4781,50,14,1456.13,300,51.12466
NC7000,3,117.4781,50,14,1461.12,300,50.8212
NC7000,3,117.4781,50,14,1466.05,300,52.79751
NC7000,3,117.4781,50,14,1471.11,300,52.22345
NC7000,3,117.4781,50,14,1476.03,300,50.41987
NC7000,3,117.4781,50,14,1481.05,300,48.63602
NC7000,3,117.4781,50,14,1486.36,300,48.28766
NC7000,3,117.4781,50,14,1491.02,300,51.02882
NC7000,3,117.4781,50,14,1496.28,300,50.58161
NC7000,3,117.4781,50,14,1501.3,300,49.50374
NC7000,3,117.4781,50,14,1506.36,300,50.94201
NC7000,3,117.4781,50,14,1511.01,300,49.91769
NC7000,3,117.4781,50,14,1516.34,300,52.50462
NC7000,3,117.4781,50,14,1521.2,300,55.30486
NC7000,3,117.4781,50,14,1526.32,300,56.57587
NC7000,3,117.4781,50,14,1531.18,300,55.89514
NC7000,3,117.4781,50,14,1535.97,300,56.3175
NC7000,3,117.4781,50,14,1541.01,300,56.41301
NC7000,3,117.4781,50,14,1545.96,300,53.24051
NC7000,3,117.4781,50,14,1550.95,300,54.11528
NC7000,3,117.4781,50,14,1556.16,300,52.44177
NC7000,3,117.4781,50,14,1560.94,300,53.67339
NC7000,3,117.4781,50,14,1565.93,300,51.79152
NC7000,3,117.4781,50,14,1570.99,300,49.64753
NC7000,3,117.4781,50,14,1575.92,300,49.18193
NC7000,3,117.4781,50,14,1581.12,300,46.69384
NC7000,3,117.4781,50,14,1586.32,300,48.95933
NC7000,3,117.4781,50,14,1591.37,300,54.38112
NC7000,3,117.4781,50,14,1596.35,300,54.1588
NC7000,3,117.4781,50,14,1601.31,300,53.21358
